video_id,genre,seg_idx,p_remove,weak_p,gold_label,fn_label,disfl_label,text_snippet,visual_context_term
4DfCXjwQBRA,commentary,32,0.0374,0.028,0.0,new_information,clean,"Those words don't even make sense in that order. So with the first dates out of the way, it's time for the eliminations and Mr. chin sack is immediately eliminated, like I said but it's also the first time you see this m",
6HVYHNTDOFs,commentary,55,0.0383,1.0,1.0,discourse_filler,clean,"But as you point out, like, it has profound effects. Gorrie was able to make ice because he wasn't afraid to step outside his own profession, medicine, and venture into a new field, thermodynamics. And while you probably",
o0AMK3wFK9E,ted,87,0.0391,0.0345,,new_information,clean,"How is it that we built a multi-billion dollar pharmaceutical empire on the biology of this animal? But for pebbles, there was nothing. My lab hopped into action and from the Creature Conservancy, a wildlife rescue cente",this image
9szhjhO9epA,commentary,16,0.0404,0.0205,0.0,new_information,clean,"But even with this flaw, Sundback's employers thought this patent was a gold mine. So the Universal Fastener Company decided to launch the product under their new name, 'The Hookless Hooker'. They abandoned that name pre",
IiAjADve-ec,tv_series,212,0.0408,0.0719,,new_information,clean,"I was saying that if… Oh, he is, I smell him. The man who didn't want the villagers on his island anymore. -His island, really? -Yes. Piñeda got you to give all the sales made to you directly to me, so then I would marry",
iDtfzQnW-B4,commentary,42,0.0412,0.0196,,new_information,clean,"(upbeat music) Let her go! Why are you always making me run after you? She's like punching me inside of her car because that's what Leah does. Listen to Golden boy. He can be good for you, I'll never be. Spencer's not th",
IiAjADve-ec,tv_series,81,0.042,0.0205,,new_information,clean,"Señor Piñeda and I have been discussing the difficulties the island has endured since the water became contaminated last year. Which I can assure you we are working very hard to remedy. Considering Rogelio's condition, w",
Aj0s9ztoKUc,entertainment,50,0.0423,0.0205,,new_information,clean,"I'm gonna go on the Australian side of Egypt. Okay. Well he did that. You just had a Spice Bag Wrappo consisting of salt and chili chicken, rice, and curry sauce, all wrapped together. I have had a spice bag. It's, makin",
MsIvs_6vC38,lectures,74,0.0425,0.0205,,new_information,clean,"Somehow that one third takes account of the fact that the numbers are getting smaller. If they weren't getting smaller, we would have n terms times n squared, but it would be exactly n cubed. But our numbers are getting ",
6HVYHNTDOFs,commentary,53,0.0428,0.0196,0.0,new_information,clean,"This made its take off even faster than the motorcar replacing the horse-drawn cart. - There's this argument of, ""Would the world really be so different without refrigeration?"" Like, sure, food, strawberries, iceberg let",
9szhjhO9epA,commentary,3,0.0445,0.036,0.0,new_information,clean,"By the 1800s, clothes were typically fastened using laces, buttons, brooches, and hooks and eyes. These got the job done, but they all shared the same flaw. If you had a series of these fasteners on a piece of clothing, ",
AeGEv0YVLtw,commentary,9,0.0447,0.0339,,new_information,repetition,but it also kinda came from outside - like a colonisation of the mind. It’s quite appropriate that Estelle is worried about makeup. In the book Perfect Me the philosopher Heather Widdows talks about societal beauty stand,
MsIvs_6vC38,lectures,96,0.0456,0.005,,new_information,clean,"If I do some row exchanges and then I do some more row exchanges, then all together I've done row exchanges. So if I multiply -- but, I don't know. And if I invert, then I'm just doing row exchanges to get back again. So",
1NLoTuRR3hE,podcasts,11,0.0456,0.0184,,new_information,filled_pause,">> Do you think he's going to try and stay in power? So, I don't think I'm exaggerating, but when people close to Donald Trump send the governor of California, ""Hey, they're not around."" I see messages all the time in th",
6HVYHNTDOFs,commentary,2,0.0458,0.036,0.0,new_information,clean,"(upbeat music) Gorrie only got a few deliveries each year, and now, by the peak of summer, the cost of just a few days' ice for the infirmary would've been more expensive than the average yearly wage. So, locals began to",
iDtfzQnW-B4,commentary,16,0.046,0.0345,,new_information,clean,"Make it dumber Haute Couture meets Netflix and chill. Is that good? Yaaah. We should really get under the covers too. You need to get warmed up, dude Leah with the fucking game bro. Oh, I should put a fucking mask on bec",
MsIvs_6vC38,lectures,80,0.0468,0.0345,,new_information,clean,"So the -- We really have discussed the most fundamental algorithm for a system of equations. Okay. So, I'm ready to allow row exchanges. I'm ready to allow -- now what happens to this whole -- today's lecture if there ar",
o0AMK3wFK9E,ted,41,0.0475,0.0205,,new_information,clean,I'm really hoping that I can actually make it to the main stage for TED because I have a really big talk that I want to give. There's a lot of content that I had to snip away to make this into 6 minutes and I really thin,
AeGEv0YVLtw,commentary,6,0.0478,0.0205,,new_information,clean,"So for me, one of the most interesting moments of NoExit comes about two thirds of the way through when Garcin has an opportunity to leave only he doesn’t. And Satre says that Hell has no mirrors. So the characters can o",
-QTkPfq7w1A,commentary,27,0.0499,0.0914,0.0,new_information,clean,"The paradox showed up in Boston, London, Seoul. In fact, if you were to randomly add a new road to just about any city, you'd have an equal chance of making the traffic better as worse. But there's nothing special about ",
3esF-pNAM9c,podcasts,73,0.0506,0.0193,0.0,new_information,repetition,I agree it's fascinating you mentioned a term earlier that I've only ever heard used when talking about a zmek glp1 yeah what what relationship does glucose have with gp1s and what the hell is a glp1 it's so interesting ,
4EXVrzOACv4,commentary,15,0.051,0.0345,0.0,new_information,clean,"Also you’re really going to want a second pair of hands, because recording yourself is challenging at the best of times, and somehow is just that little bit worse when you’re trying to make something. I just want to demo",the camera
-QTkPfq7w1A,commentary,30,0.0515,1.0,1.0,discourse_filler,clean,"Oh, and the best email actually suggested we should turn Veritassium's existing content into high performing YouTube videos to increase our audience and extend the brand's reach. That's a genius idea. But unfortunately, ",
AeGEv0YVLtw,commentary,2,0.0517,0.0339,,new_information,repetition,"And they eventually discover they are there to torture each other, emotionally, forever. The play is famous for the line at the end, “Hell is other people” and it’s really really good. It’s one of those works of art that",
AeGEv0YVLtw,commentary,35,0.0518,0.0719,,new_information,clean,"I thought what I needed wasn't really worth anything, The reason Garcin doesn’t walk out when the door to Hell opens isn’t that he’s vain, in fact he has a very low opinion of himself, it’s because his whole worldview an",
4DfCXjwQBRA,commentary,12,0.0519,0.028,0.0,new_information,clean,"So, you're welcome. So first off, I thought the show was going to be more like, 'Love is blind,' where there's like dates happening, but then there's also some stuff happening outside of the dates but no, this show is mo",
-QTkPfq7w1A,commentary,26,0.0521,0.036,0.0,new_information,clean,"My god. This is the paradox Dietrich Braze discovered in 1968. It's now known as Brazy's paradox, and it is the reason why New York traffic got better after 42nd Street was closed on Earth Day. Now, sure, you'd be right ",
IiAjADve-ec,tv_series,207,0.0523,0.0345,,new_information,clean,"Marry the stupid one and you will lie in it forever. The house that had been yours to live in will be your grave many years before you die. Good afternoon, my dear friends, and welcome to this wonderful occasion because ",
6Sx_hLPFwU8,lectures,2,0.0533,0.0863,,new_information,repetition,well that makes sense as well okay if something is normally distributed it's basically like a bell curve okay and the median and the mean are about the same right in the middle all right so the median for brooklyn is def,look at
6HVYHNTDOFs,commentary,34,0.0534,0.0914,0.0,new_information,clean,"That's a 25-fold increase in just four years. But more importantly, with a national distribution network to rely on, these cities no longer needed to prepare meat locally. They could finally get rid of all the infrastruc",
Aj0s9ztoKUc,entertainment,93,0.0543,0.075,,new_information,clean,"At least I'm gonna save face, I think. You just had Khao Phan Phak. A dish of vegetables and egg wrapped in a thin steamed rice sheet, particularly popular in the Laotian influenced cuisine of Northeastern Thailand. Oh, ",
o0AMK3wFK9E,ted,5,0.055,0.0205,,new_information,clean,"But that's not all. Coached by an expert panel, one lucky speaker will be surprised with the opportunity of a lifetime. A chance to speak on the TED Main stage and have their voices heard by millions. This is the TED ide",
1NLoTuRR3hE,podcasts,75,0.0551,0.0462,,new_information,repetition,"I mean, if there was one book that just just hit me in the core that sort of expressed everything I wanted to become, he talked about hire the smile, train the skill, uh about finding these superstar leaders and developi",
1NLoTuRR3hE,podcasts,170,0.0555,0.0264,,new_information,filled_pause,"Oh, men are really struggling really. >> You know, men still dominate in all these key positions of power and influence. But when you see all what's happening underneath, it is a crisis. And as a consequence, the Republi",
6HVYHNTDOFs,commentary,52,0.0556,0.0345,0.0,new_information,clean,"(pensive music) - And so the human-made ice companies were like, ""Sure, our ice isn't made by God. But, natural ice will kill you. So, which one do you want?"" - [Derek] After the first affordable home refrigerator landed",
6HVYHNTDOFs,commentary,25,0.056,0.0093,0.0,new_information,clean,"And despite the trip being five times longer than his first one to the Caribbean, more than half of the ice survived. (compelling music) In India, the ice was a big hit. Over the next 20 years, Tudor made around $220,000",
AeGEv0YVLtw,commentary,0,0.0561,0.0205,,new_information,clean,"In 2012, John Green wrote a book called ""The Fault in Our Stars,"" about a young girl dying of cancer, which was based at least in part on the real life of a friend of John’s who tragically died young. In the foreword he ",
9szhjhO9epA,commentary,23,0.0561,0.0205,0.0,new_information,clean,"Okay, at first it just looks like other zippers, but if I pull out the threads, you can see that everything here is just a single weird piece of plastic. Imagine you have a coil of plastic that you somewhat flatten. You ",you can see
o0AMK3wFK9E,ted,50,0.0572,0.0345,,new_information,clean,"What if running didn't have to be boring? What if I gave it a little bit of purpose? What if I ran the entire city of Chicago? Today, this is my progress within the city. The purple is where I've ran over half of Chicago",
3esF-pNAM9c,podcasts,32,0.0575,0.0052,0.0,new_information,clean,I think if you're in a cycle where all you're just getting dopamine from sugar it just becomes addictive and you have to do stuff in your life that allows you to feel good in your brain without having that sugar so maybe,
o0AMK3wFK9E,ted,13,0.0579,0.0205,,new_information,clean,">> Honeybees are dying rapidly and at the center of this problem is veroa. My name is Sammy Ramsey. I'm from Boulder, Colorado. My big idea that I want to share with the world today is that empathy is a skill. It typical",
1NLoTuRR3hE,podcasts,235,0.0581,0.0205,,new_information,clean,So every time he does this he's sort of testing these boundaries. And this is what makes me more concerned. I'll give you a proof point. God is my witness. We're sitting here when we do this today on this podcast. We jus,
9szhjhO9epA,commentary,8,0.0585,0.0914,1.0,new_information,clean,"[Gregor] For the next few years, Sundback made minor improvements to Judson's hook and eye design, but none were ever enough to make the product truly functional. Then soon after giving birth to a daughter, his wife Elvi",
AeGEv0YVLtw,commentary,17,0.0592,0.036,,new_information,clean,"and I mentioned that around August of last year I changed what I was making. If you’ve been watching my videos for any amount of time you will have noticed I went from this, to this in a relatively short amount of time. ",
3esF-pNAM9c,podcasts,77,0.0596,0.1152,0.0,new_information,repetition,and there's like these evil people in this like Tower or whatever and then it was rebutted by the other host who basically made the case which I kind of believe that actually it's not necessarily this big conspiracy theo,
1NLoTuRR3hE,podcasts,164,0.0597,0.075,,new_information,clean,"At that stage, you're thinking about the product, how to attract new customers, how to grow your team, really, how to survive. And HR slips down the list because it doesn't feel urgent, but sooner or later it is. And whe",
iDtfzQnW-B4,commentary,6,0.0599,0.028,,new_information,clean,"Quick recap of Episode One and two. I am Kurtis with a bunch of S's, I am a bisexual nerdy theater girl in high school. And I'm a part of the Baby project right now where I have to take care of a fake baby to pass my cla",
AeGEv0YVLtw,commentary,4,0.0599,1.0,,off_topic,clean,"Put a pin in that. Several hundred years before Satre, another French guy called Renè Descartes wrote some actual philosophy in which he tried to doubt everything he knew in order to find something that he couldn’t doubt",
1NLoTuRR3hE,podcasts,64,0.06,0.0264,,new_information,repetition,and uh grew about there were 22 or four businesses at peak about a thousand employees at peak came from that one business I was the only full-time employee for almost two years yeah I mean I'll tell you just the greatest,
IiAjADve-ec,tv_series,118,0.062,0.1216,,new_information,clean,"Why don't you tell Daddy that we want no spoiled little rich girls on this side of the island? Carmelita, please, would you just dance with me? What are you doing, let's dance. Let's get out of here. Hey, Rogelio, you're",
3esF-pNAM9c,podcasts,74,0.0621,0.0863,0.0,new_information,repetition,it's helping people lose weight for me Stephen I'm like guys do you realize what's going on do you realize that we've had to invent a drug to prevent people from eating the food around them because the food around them i,
-QTkPfq7w1A,commentary,11,0.0622,0.0093,0.0,new_information,clean,"That's Hook's law. But if you add another spring in between in series, now both springs extend roughly the same amount, X, because both springs feel the same force of the weight pulling from below. So in the case of idea",look at
1NLoTuRR3hE,podcasts,168,0.0625,0.0339,,new_information,filled_pause,"In 2015, she was highlighting all the things the trend lines a decade ago that are headlines today >> as it relates to the crisis of of boys and men. And she was noting the suicide rate. She was talking about, you know, ",
iDtfzQnW-B4,commentary,73,0.0625,0.0196,,new_information,clean,"It's time to kick back. Well yourself to do your job but on top of ensuring your safety and privacy, ExpressVPN also allows you to expand your entertainment selection by letting you change your location so you can watch ",
53T5eYxGf3I,ted,2,0.0625,0.0863,,new_information,repetition,then it broke I paid to get it repaired then it broke again and pretty soon I was broke too I realized that the truly appropriate lowcost tools that I needed to start a sustainable farm and settlement just didn't exist y,
1NLoTuRR3hE,podcasts,35,0.0627,0.1152,,new_information,repetition,"You know, well, I'm getting my 960 in American SAT. She was getting 1380. It was easy for her. Uh, everything was easy for her. And so that contrast and that anxiety that came from that contrast and the struggle that my ",
2IdtqGM6KWU,lectures,14,0.0628,0.0264,0.0,new_information,filled_pause,I can write that Matrix as it's pivot column 1 2 times it's time 145 a column time a row one column time one row gives me a matrix right if I multiply a column by a row that that's 2x one Matrix times a 1x3 matrix and th,
iDtfzQnW-B4,commentary,46,0.0631,0.0205,,new_information,clean,"O, M, G! I so ship Lekurtisssssss, that's my name in French. LeKurtis. But when Spencer showed up with those cookies, Leah flipped and ran off! Spencer is a gift from the romance gods, don't... because he made up, becaus",
4DfCXjwQBRA,commentary,25,0.0635,0.0345,1.0,new_information,clean,"- [Narrator] Any ideas to help you actively find love? - Sex Kung Fu. - [Narrator] I'm sorry, what? - Chinese philosophy with sexual energy meditation. - Do you love him? I don't know what sex Kung Fu is and I never wann",
MsIvs_6vC38,lectures,0,0.0638,0.0345,,new_information,clean,"Okay, this is linear algebra, lecture four. And, the first thing I have to do is something that was on the list for last time, but here it is now. What's the inverse of a product? If I multiply two matrices together and ",
1NLoTuRR3hE,podcasts,173,0.0638,0.0339,,new_information,filled_pause,"The Democratic Party, I think it's fair to say, most certainly played their hand wrong in this regard. And the word played is obviously again comes loaded, but but very much I think I think to so some I think people coul",
iDtfzQnW-B4,commentary,23,0.0639,0.0345,,new_information,clean,"Can I get a re-do? Is this really happening? I'm not going to let this moment pass us by. (door bell rings) No! Dude, this is just what High School Musical does. The whole first High School Musical movie if they didn't k",
3esF-pNAM9c,podcasts,58,0.064,0.0264,0.0,new_information,filled_pause,and that's the food order hack going on do you know off the top of your head what your most engaged post has been of all time the one that's been shared the most or commented on the most um actually it's one currently at,
1NLoTuRR3hE,podcasts,72,0.0651,0.036,,new_information,clean,"You tried to solve a goddamn problem."" And we created the failure award and I gave the biggest screw-up every single month a bonus. And at the end of the year, we'd put them all together. January screw-up, February screw",
MsIvs_6vC38,lectures,46,0.0654,0.005,,new_information,clean,"So now this is going to -- this is the E that goes on the left side. Left of A. Now I'm going to do the inverses in the opposite order, so what's the -- So the opposite order means I put this inverse first. And what is i",
Aj0s9ztoKUc,entertainment,98,0.0658,0.0205,,new_information,clean,"That's true. Let's give a round of applause to a very special, deserving group of people. That is, people with underwhelming 23 and me results. You don't know how lucky you are. Click the top link to watch us rank Cringe",
6HVYHNTDOFs,commentary,24,0.066,0.036,0.0,new_information,clean,"So much so that copycat businesses began to crop up. But Tudor wasn't about to let anyone else have a share of the market he created. So, to maintain his monopoly, he often undercut his competition until they either gave",
3esF-pNAM9c,podcasts,54,0.0664,0.0339,0.0,new_information,repetition,okay that's how it would work so indirectly I might not game more away exactly exactly so eating your food in the right order okay having a Savory breakfast we talked about it veggies first we talked about it vinegar we ,
o0AMK3wFK9E,ted,86,0.0664,0.0345,,new_information,clean,It has driven the extinction of hundreds of amphibians already. I'm a chemist who has dedicated my life to improving health and I cannot look away from these diseases. I needed to do something about it. When I met Pebble,
CcVMWwXOk8I,tv_series,5,0.0675,0.036,,new_information,clean,"When Suner enters their lives, Kyra believes she's her mom, pulling everyone into a heartwarming tale of found family and tender romance to uncover the sweetest lie ever told. Don't miss this emotional ride. Number 10, A",
o0AMK3wFK9E,ted,36,0.0677,0.036,,new_information,clean,"The speakers prepare for the six minutes that could change everything. If you're in the room, you are participating. All right, we're going to get our shoulders all the way up to ears and inhale and then a big exhale wit",
iDtfzQnW-B4,commentary,68,0.068,0.047,,new_information,clean,"Oh, come on Spence, at least pretend you're happy to hear from me. Dude, he's just like a super cockney guy. Spencer, how could you let this happen? Almost hurt my fucking throat bro. Mr. Herberg just pair them up out of",
-QTkPfq7w1A,commentary,20,0.0691,0.005,0.0,new_information,clean,"Since this is just a mathematical model, both will get you there at the same time. So, say there were 2,000 drivers trying to get across the city. Half of the cars would end up on the first route and half on the second r",
iDtfzQnW-B4,commentary,72,0.0694,0.0196,,new_information,clean,You know how many times I've searched for wet fart sound effect in the YouTube? Nobody needs to know that. Only me and I know a lot more people are working from home now because of COVID-19. And if you are one of those p,
Ff7J-ERl8o0,entertainment,0,0.0695,0.028,,new_information,clean,"The career high of it all kicked in when after our set, Bruce Springsteen came into our dressing room and said he didn't feel like he could go back on without us sort of joining him. So, you know, we were that hard of an",
4X16Iw5ST4Q,commentary,27,0.0698,1.0,1.0,discourse_filler,clean,[Music] okay you're welcome now let's hear a word from today's sponsor this video is sponsored by current folks as technology advances industries usually evolve and adapt over time except banking they refuse to change an,this video
MsIvs_6vC38,lectures,58,0.0699,0.0877,,new_information,clean,"So here's our matrix A, hundred by a hundred. And the first step will be -- that column, is got zeroes down here. So it's down to 99 by 99, right? That's really like the first stage of elimination, to get from this hundr",
3esF-pNAM9c,podcasts,55,0.07,0.2803,0.0,new_information,clean,and I'll just make an example with my own data to illustrate that scientific study and that's why if you swipe on my post you'll see my graph and then the study that I mentioned or in the description of the post I don't ,the screen
9szhjhO9epA,commentary,21,0.0711,1.0,1.0,discourse_filler,revision,"There we go. I mean, it's a pretty great example of how a more automatic approach can save you a bunch of time, which is what today's sponsor Hostinger is all about. Say you have a bunch of projects spread out over Slack",
3esF-pNAM9c,podcasts,50,0.0715,0.0049,0.0,new_information,repetition,well I think there's a lot of things going on but one study that's really interesting shows us that in rats when you create lots of big glucose spikes and when you monitor the activity of their neurons in the rats scient,
AeGEv0YVLtw,commentary,8,0.0722,0.036,,new_information,clean,"One of Hegel and Satre’s big themes was recognition. Wanting to be seen by other people in a certain way, and what happens when Other people don’t see us the way we want them to. And they’re not just talking about other ",
1NLoTuRR3hE,podcasts,179,0.0722,0.0442,,new_information,revision,"If and when you become president in 2028 or another year, >> how is the attitude towards men going to shift and what are the practical ways that you get there towards, you know, >> well, I don't think you wait for that m",
1NLoTuRR3hE,podcasts,144,0.0723,0.0264,,new_information,filled_pause,"Young man in a hurry. That's who I was. Was the entrepreneur. I'm sort of trying to, you know, just trying to make things happen, trying new things, seeing what works, having a little bit more success than failure. Um, y",
1NLoTuRR3hE,podcasts,69,0.0742,0.0863,,new_information,repetition,"Valley, Lake Tahoe area and a lot of mosquitoes during the summer months. It's an old motel built for the Winter Olympics, the 1960 Winter Olympics, built in 1959 for the delegates was supposed to be torn down. It sort o",
o0AMK3wFK9E,ted,27,0.0742,0.0205,,new_information,clean,"I'm Darling Jackson, also known as DJ Lady D, and I'm from Chicago. I'm here to share a way for people to feel comfortable with themselves and to live a life that's free of judgment and full of grace. People are really c",
6HVYHNTDOFs,commentary,10,0.0742,0.036,0.0,new_information,clean,"The key idea here is that you wanna pack your ice as tightly as possible. - [Derek] In fact, the best shape to minimize the surface area is a sphere. So, if you think about it, a snowman is pretty much mathematically opt",
o0AMK3wFK9E,ted,6,0.0746,0.0339,,new_information,filled_pause,My name is Tim Cernac. I'm a professor of medicinal chemistry at the University of Michigan. I'm here to talk about making medicine for endangered species. It's a new field called conservation chemistry. We imagine that ,
MsIvs_6vC38,lectures,53,0.0747,0.0205,,new_information,clean,"So this is the A=L U. So if no row exchanges, the multipliers that those numbers that we multiplied rows by and subtracted, when we did an elimination step -- the multipliers go directly into L. Okay. So L is -- this is ",look at
4DfCXjwQBRA,commentary,14,0.0748,0.028,0.0,new_information,clean,"The episode that I despised the most is episode five which opens with a dolphin girl named Nina. So this is just a full-on BoJack Horseman episode. You know, I bet they avoided horse masks for, well, I guess horse masks ",
4IenX7OHumk,tv_series,1,0.0748,0.036,0.0,new_information,clean,he does not block he just snaps your spine but zika can wait they all die in the end patience is rewarded with a second hand Feast to fuel her growing Army one step closer to her master plan soon zelica you will have the,
4IenX7OHumk,tv_series,2,0.0749,0.036,0.0,new_information,clean,[Music] but these challenges to the throne are trespasses now on the Mars Lion's domain do not get caught Lions showed dogs no mercy LED well six dogs can grow into a dynasty loyal alphas timana and malao carry this drea,
4EXVrzOACv4,commentary,18,0.0756,0.036,0.0,new_information,clean,"You can absolutely create a cooking channel that trades entirely in being strongly informative, driven by a big personality. But spectacle sells, and at the moment it absolutely dominates. In fact it does so to the point",
1NLoTuRR3hE,podcasts,248,0.0757,0.0196,,new_information,clean,"That's for a larger purpose. And I'm not trying to be, you know, I'm not trying to be m it may not be intentional purpose yet, but they'll place an opportunity to utilize the lessons learned here today to extend their re",
CcVMWwXOk8I,tv_series,4,0.0758,0.0914,,new_information,clean,"She ends up in a glamorous Istanbul clinic with Kaire's charming son Amir. As egos collide, so do hearts. To explore how beauty can be more than skinde, check out this colorful drama. Number 11, Benham Taffyan, My Sweet ",
AeGEv0YVLtw,commentary,56,0.0766,0.0863,,new_information,repetition,And if I raise any money I'm going to give it all to a mental health charity. A while ago my friend Harry did something amazing. He he raised a huge amount of money for a kid’s charity by streaming himself playing Donkey,
9szhjhO9epA,commentary,20,0.0766,0.0196,0.0,new_information,clean,"zippers are more expensive, more temperamental than buttons and laces, and anyways, they become huge regardless of that. - Well, now you see the heart of the mystery. The novelty of a zipper itself was something that too",
3esF-pNAM9c,podcasts,2,0.0769,0.0863,1.0,new_information,filled_pause,yep so what are the hacks the first one is this is a sentence I never thought I'd say in my life um we've just hit 7 million subscribers on YouTube and I want to say a huge thank you to all of you that show up here every,
1NLoTuRR3hE,podcasts,251,0.0772,1.0,,discourse_filler,repetition,"Oh, okay. He's >> if he was 69, not 79. >> Look, he uh this is the great grift. He's he he did what he never did in the first term. He played in the margins. he was able to take advantage of his brand and his businesses ",
IiAjADve-ec,tv_series,1,0.0777,0.0205,,new_information,clean,"Oh. Margarita, [Spanish spoken audio]. Oh. It's beautiful, Sonia. She looked beautiful in it on the day that she married her father. She always hoped to see you wear it one day. So young you were. Seventeen.",
AeGEv0YVLtw,commentary,26,0.0779,0.1197,,new_information,repetition,"It was bad in places but it wasn't abusive! I mean yes, I did all of the cooking, and cleaning, and it was hardly ever appreciated, but that's okay, I had more spare time; that's the feminist thing to do and I enjoy doin",
AeGEv0YVLtw,commentary,10,0.0783,0.0205,,new_information,clean,"Spoilers, by the way. It's not necessarily just about race: a lot of trans people can probably relate to what Fanon was talking about. (I think someday some black trans person is gonna write something about Frantz Fanon ",
3esF-pNAM9c,podcasts,9,0.0785,0.0339,0.0,new_information,repetition,but let me explain if you put a chicken in the oven it goes from pink to brown right you've seen this it books this process of cooking is called glycation it's the process of Browning or of cooking same thing when you to,look at
9szhjhO9epA,commentary,27,0.0787,0.0345,0.0,new_information,clean,"YKK. Even on clothes and objects from completely different brands. If you look at your zipper now, you'll probably see the same thing. So at first, I thought this might refer to a particular style of zipper or something,",look at
6HVYHNTDOFs,commentary,40,0.0795,0.0205,0.0,new_information,clean,"This cooled the air down below its starting point and dropped it to freezing temperatures. Gorrie then placed this entire cylinder inside a large tank of water, finally making ice. But to avoid the entire tank freezing s",
3esF-pNAM9c,podcasts,48,0.08,0.0264,0.0,new_information,repetition,so if you want a super low effort albeit not very delicious super low effort hack to try do that and see how you feel with a smaller Spike and a smaller crash few Cravings less fatigue what kind of vinegar any kind of vi,look at
MsIvs_6vC38,lectures,31,0.0801,0.005,,new_information,clean,"right? And then the next step will be to get a zero in the three one position. And the final step will be to get a zero in the three two That's what elimination is, and it produced U. position. And again, no row exchange",
1NLoTuRR3hE,podcasts,171,0.0802,0.0264,,new_information,filled_pause,Our party needs to own up to that and we need to address these realities. Uh Richard Reeves is doing amazing work on it. Scott Galloway is doing amazing work on it. So many folks in this space uh you know cats been doing,
2IdtqGM6KWU,lectures,26,0.0805,0.0462,0.0,new_information,repetition,I don't well we won't think more about that so actually the the real question is what's what are big large distances who how how far apart could people be separated and roughly this number six degrees of separation has k,
-QTkPfq7w1A,commentary,15,0.0808,0.0914,0.0,new_information,clean,"Now, you might think that this paradox only really works with the springs in this demo, but the first time it was discovered was actually because of its influence on people. In April of 1990, New York was getting ready f",
6HVYHNTDOFs,commentary,18,0.0811,0.0093,0.0,new_information,clean,"So, with no place to store the ice, Tudor had to sell it straight off the dock, under the hot sun. He sold as quickly as possible, but after two days, he had only made about $50. The locals were confused by the strange f",
MsIvs_6vC38,lectures,57,0.0816,0.0236,,new_information,clean,"But it's more expensive, too, and the question is how much more expensive? If I have matrices of order a hundred. Let's say a hundred by a hundred. Let me take n to be a hundred. Say n equal a hundred. How many steps are",
o0AMK3wFK9E,ted,84,0.082,0.2803,,new_information,clean,"He's going to be tough to beat. I'm glad I did not make eye contact with my parents cuz then I would have been like an inconclusion and it would have been over with. So wherever they are, I'm glad that they threw a jacke",
2IdtqGM6KWU,lectures,13,0.0825,0.0339,0.0,new_information,repetition,and it's not bigger than n so but I'd like to have a little discussion on the rank maybe I'll put that here so I'm picking up this topic of rank one matrices and the reason I'm interested in rank one matrices is that the,
3esF-pNAM9c,podcasts,47,0.0828,0.0205,0.0,new_information,clean,oh I really want to have a nap I would have a nap on the floor right here if I could looking for sugar all the time you actually have a clearer brain like we know glucose spikes are linked to even just brain fog and brai,right here
-QTkPfq7w1A,commentary,19,0.083,0.0196,0.0,new_information,clean,"But there were only two possible routes the drivers could take. Route one starts with a wide highway that takes you halfway across town. The road is so wide that regardless of how many cars are on it, this part of the tr",you can see
