video_id,genre,seg_idx,p_remove,weak_p,gold_label,fn_label,disfl_label,text_snippet,text_full,visual_context_term
Aj0s9ztoKUc,entertainment,68,0.7744,0.3351,,new_information,revision,"Hold on, let me, I think I do need to kind of go in the same plane as the map. I think that's gonna do it. I really gotta get it. I mean, that's paper man. And I think I need to raise it up a little bit There you go.","Hold on, let me, I think I do need to kind of go in the same plane as the map. I think that's gonna do it. I really gotta get it. I mean, that's paper man. And I think I need to raise it up a little bit There you go.",the map
9szhjhO9epA,commentary,25,0.7703,0.9163,0.0,clarification,clean,"But if I grab the pull tab and start pulling, you can see that because of the way that it's shaped, it's actually gonna end up pushing that part up, even though I'm pulling to the side, and that's gonna disengage. You ca","But if I grab the pull tab and start pulling, you can see that because of the way that it's shaped, it's actually gonna end up pushing that part up, even though I'm pulling to the side, and that's gonna disengage. You can try to pull apart the fly on your pants, but unless you actually grab the pull tab and pull it down, it is not gonna open. These locking mechanisms aren't on every zipper, but they're more common than you might think.",you can see
IiAjADve-ec,tv_series,63,0.7202,0.1265,,new_information,clean,"-Absolute decisiveness is a requirement. -Yes, El Comandante. Look at this reading. It's going through the roof.","-Absolute decisiveness is a requirement. -Yes, El Comandante. Look at this reading. It's going through the roof.",look at
o0AMK3wFK9E,ted,64,0.6993,0.2713,,new_information,clean,Why did I spend all that time trying to make this decoy bee look like a bee when these little doofuses can't even see? No eyes. Look at that. Not a single eye on that face. >> I love that part. And he just changes his to,Why did I spend all that time trying to make this decoy bee look like a bee when these little doofuses can't even see? No eyes. Look at that. Not a single eye on that face. >> I love that part. And he just changes his tone.,look at
4DfCXjwQBRA,commentary,17,0.6743,0.1216,0.0,new_information,clean,"But in some of these episodes, there's people like this girl who's has exposed bone and blood. I don't even know what she's supposed to be. What I know for sure is that she's way harder to look at than cute wolf guy. Who","But in some of these episodes, there's people like this girl who's has exposed bone and blood. I don't even know what she's supposed to be. What I know for sure is that she's way harder to look at than cute wolf guy. Who's a good boy? Hey, look, I'm not attracted to beasts, okay?",look at
Aj0s9ztoKUc,entertainment,2,0.6732,1.0,,off_topic,clean,"Look at that. The, the checks are ready to go. 5,000, 15,000 and 30,000.","Look at that. The, the checks are ready to go. 5,000, 15,000 and 30,000.",look at
9szhjhO9epA,commentary,10,0.6543,0.9127,0.0,clarification,clean,"Now, this is especially true on a real size zipper where it's practically impossible. But if I add this slider to the bottom and try pulling on the pull tab here, suddenly it's effortless. So how does it do it? Well, I c","Now, this is especially true on a real size zipper where it's practically impossible. But if I add this slider to the bottom and try pulling on the pull tab here, suddenly it's effortless. So how does it do it? Well, I can remove the cover from the slider to reveal that it's just a Y-shaped cavity.",this slide
iDtfzQnW-B4,commentary,74,0.6483,1.0,,redundant_repetition,clean,"I heard they now work. So if you want to give ExpressVPN a try, all you have to do is go to ExpressVPN.com/KURTISTOWN or just click the link in the description, find out how you can get three months free. Thanks again Ex","I heard they now work. So if you want to give ExpressVPN a try, all you have to do is go to ExpressVPN.com/KURTISTOWN or just click the link in the description, find out how you can get three months free. Thanks again ExpressVPN for sponsoring this video and so many others in the past. They really are great company and really just makes me feel safer, gives me a lot of peace of mind when I'm using the internet so",this video
iDtfzQnW-B4,commentary,77,0.6389,0.1578,,new_information,revision,"Well again, check out the new merch. It's cool, it's good, it's nice. Checkout the podcasts. I just did Episode 100 It's great. I mean I'm recording it yet but I'm sure it's great. But it will be up by the time this vide","Well again, check out the new merch. It's cool, it's good, it's nice. Checkout the podcasts. I just did Episode 100 It's great. I mean I'm recording it yet but I'm sure it's great. But it will be up by the time this video is up.",this video
Aj0s9ztoKUc,entertainment,22,0.6171,0.1663,,new_information,clean,"It's almost translucent. Like Mayo. I feel like, look at that. This is, it comes from the Middle East and then as it headed a certain direction, it became something else.","It's almost translucent. Like Mayo. I feel like, look at that. This is, it comes from the Middle East and then as it headed a certain direction, it became something else.",look at
Aj0s9ztoKUc,entertainment,12,0.6062,1.0,,discourse_filler,clean,"Because the best present, is my presence. Oh. Is it now? Look at that word play. Not arguing with that, Chase. We got our first one right here in front of us.","Because the best present, is my presence. Oh. Is it now? Look at that word play. Not arguing with that, Chase. We got our first one right here in front of us.",look at
1NLoTuRR3hE,podcasts,8,0.582,0.075,,new_information,clean,>> He's an incompetent governor. Look at the job he's doing. He's a stone cold liar. >> There's always conflict between you and Trump.,>> He's an incompetent governor. Look at the job he's doing. He's a stone cold liar. >> There's always conflict between you and Trump.,look at
Aj0s9ztoKUc,entertainment,57,0.5796,0.1265,,new_information,clean,Hoo. Lemme take this 'cause I need all the help I can get. I'm opening this and I'm not letting you look at it. Oh. I can see it. You can see it. It's got big peppers in it.,Hoo. Lemme take this 'cause I need all the help I can get. I'm opening this and I'm not letting you look at it. Oh. I can see it. You can see it. It's got big peppers in it.,you can see
3esF-pNAM9c,podcasts,34,0.5775,0.1663,0.0,new_information,clean,you have to like dose these stressors in a way that is going to be manageable for your body I see lots of women who do all those things I just mentioned and then they're like and I don't have my perod and I don't underst,you have to like dose these stressors in a way that is going to be manageable for your body I see lots of women who do all those things I just mentioned and then they're like and I don't have my perod and I don't understand I don't feel good I'm like your body is freaking out like relax you can't be putting all these stressors on yourself all the time so I fast when I'm on vacation and what kind of fasting do you do I like we'll skip a meal we'll skip dinner we'll skip breakfast and it just helps your body clean up its dead cells and it's really helpful but we have to remember that fasting is a stressor it has great benefits but you don't have to fast in order to be healthy it's very important to also look at what you're eating because if you're fasting 16 hours a day and then you're just eating junk food it's not going to be helpful to your body we have to do both in combination do you fast naturally yeah,look at
ZL5LcsJGS5Y,tv_series,4,0.5158,1.0,,redundant_repetition,clean,"Serhat placed the envelope on the table between them. ""We need to think clearly."" he said. ""Berak wants us divided. That's why she pushed you to stay silent.""","Serhat placed the envelope on the table between them. ""We need to think clearly."" he said. ""Berak wants us divided. That's why she pushed you to stay silent.""",the table
o0AMK3wFK9E,ted,21,0.4892,0.0678,,new_information,filled_pause,"That was just beautifully delivered. >> I tie this around. Oh my gosh. I need to practice this. Uh yeah, >> you got >> rehearsals are never perfect. You're never going to have the perfect talk and I've learned a lot. I s","That was just beautifully delivered. >> I tie this around. Oh my gosh. I need to practice this. Uh yeah, >> you got >> rehearsals are never perfect. You're never going to have the perfect talk and I've learned a lot. I sometimes froze. >> We need to explore the streets of I messed up, but that's okay. Can I look at the script really quickly?",look at
-QTkPfq7w1A,commentary,6,0.4735,0.0191,0.0,new_information,clean,"Here's a closer look at the setup. You have a spring hanging from a hookup here. And then via this green rope, it's connected to another spring that's carrying this weight below them. There are two extra ropes here as we","Here's a closer look at the setup. You have a spring hanging from a hookup here. And then via this green rope, it's connected to another spring that's carrying this weight below them. There are two extra ropes here as well. So the red one and the black one are slack. They're not under any tension whatsoever. So they're not actually carrying any weight. What's going to happen if you cut the green rope? You can pause the video here and try to figure it out for yourself. Wait, what?",look at
4EXVrzOACv4,commentary,17,0.459,0.1265,0.0,new_information,clean,And now what I’m going to do is trim and clean these cuts in a way that you might see them in a butcher’s shop.” This video in particular is fascinating to me because while a general audience can follow the subject matte,"And now what I’m going to do is trim and clean these cuts in a way that you might see them in a butcher’s shop.” This video in particular is fascinating to me because while a general audience can follow the subject matter just fine, a lot of the video’s actual language is business advice for working butchers. “Bellies get turned into bacon, bacon is a great value-added product for butchers, everybody loves bacon, so it’s definitely within the butcher’s best interest to have as much bacon as possible. Spectacle is the hook, and no, it’s not strictly necessary.",this video
o0AMK3wFK9E,ted,88,0.4435,1.0,,off_topic,clean,"And as you can see, we have abused this bug. Its protective layer is dissolving. Its insides are exploding. Within days, the creature conservancy started pebbles on a treatment of peromy.","And as you can see, we have abused this bug. Its protective layer is dissolving. Its insides are exploding. Within days, the creature conservancy started pebbles on a treatment of peromy.",as you can see
-QTkPfq7w1A,commentary,10,0.4219,0.02,0.0,new_information,clean,Look at what happens when you remove the slack side ropes from the initial setup. You're left with this a mass hanging from a spring hanging from another spring. So these springs are connected in series. Obviously when y,"Look at what happens when you remove the slack side ropes from the initial setup. You're left with this a mass hanging from a spring hanging from another spring. So these springs are connected in series. Obviously when you hang a weight from one spring, it extends just like you'd expect. And the amount it extends by, call it X, is proportional to the force exerted by the weight.",look at
1wsF9GpGd00,lectures,1,0.4163,0.2713,,new_information,clean,"So the first question is, is B a subset of A? And there you might say, well, what does subset mean? Well, you're a subset if every member of your set is also a member of the other set. So we actually can write that B is ","So the first question is, is B a subset of A? And there you might say, well, what does subset mean? Well, you're a subset if every member of your set is also a member of the other set. So we actually can write that B is a subset-- and this is a notation right over here, this is a subset-- B is a subset of A. B is a subset.",over here
3esF-pNAM9c,podcasts,40,0.415,0.1578,0.0,new_information,filled_pause,you know we're all we're all stuck in this vicious cycle of having this toxic food around us that's making us sick but not understanding how to get out of it and everybody wants to be healthy that man he was eating stuff,you know we're all we're all stuck in this vicious cycle of having this toxic food around us that's making us sick but not understanding how to get out of it and everybody wants to be healthy that man he was eating stuff that he thought would be good for him he was eating like the low calorie rice cakes and the fruit smoothies and the lowfat yogurts and all these things trying to be healthier but if you don't have the right information you can't actually make a change what would you say to parents it's it's really interesting cuz I I've had the experience of watching a lot of early parents over the last couple of months and um they care so much about their kids just eating it something that often they'll give them something that is high in glucose does it matter you know because sometimes people look at kids and go well they're a kid they they'll kind of it won't have an impact on them they'll kind of grow out of it,look at
1wsF9GpGd00,lectures,7,0.4141,0.075,,new_information,clean,"So once again, this right over here is false. Now we could have also added-- we could write B is a subset of C. Or we could even write that B is a strict subset of C. Now, we could also reverse the way we write this. And","So once again, this right over here is false. Now we could have also added-- we could write B is a subset of C. Or we could even write that B is a strict subset of C. Now, we could also reverse the way we write this. And then we're really just talking about supersets.",over here
6HVYHNTDOFs,commentary,28,0.413,0.3337,0.0,new_information,repetition,"- All kinds of rumors and jokes and cultural thoughts started to to crop up. And if you look at some of the most popular songs at the time, ""She Fell In Love with the Iceman,"" or ""The Iceman Took My Wife."" If you look at","- All kinds of rumors and jokes and cultural thoughts started to to crop up. And if you look at some of the most popular songs at the time, ""She Fell In Love with the Iceman,"" or ""The Iceman Took My Wife."" If you look at old Valentine's Day cards that were circulating at this time, they all had puns about the iceman. The iceman made my wife too hot; he was supposed to deliver ice. Like, it was so silly.",look at
4X16Iw5ST4Q,commentary,28,0.3926,0.0193,1.0,new_information,filled_pause,it's just common courtesy okay uh thank you so much current for sponsoring this video and so many others in the past hope you check them out because it helps me out a bunch when you guys check out the sponsor so everybod,it's just common courtesy okay uh thank you so much current for sponsoring this video and so many others in the past hope you check them out because it helps me out a bunch when you guys check out the sponsor so everybody wins man all right back to me alright thank you so much for watching if you enjoyed the video please press that like button because believe it or not one like equals one helpless child that i will rescue from the swing set either press the [ __ ] button i'll leave a comment let me know what you thought of the video let me know if you're canadian if you remember these or any other ones and also let me know if you want a video about the fushiki ball even though i'm going to make a video about the fushigi bomb you can press subscribe button because as soon as you do you become a valued citizen of curtis town and if you didn't know kurdistan is the best place to live in the world and i'm the mayor,this video
MsIvs_6vC38,lectures,64,0.3575,0.115,,new_information,revision,"I mean, if I count them separately, I'd have a certain number of multiplies, certain number of subtracts. That's really want to do. Okay. How many have I got here? So, I think -- let's see. It's about -- well, how many, ","I mean, if I count them separately, I'd have a certain number of multiplies, certain number of subtracts. That's really want to do. Okay. How many have I got here? So, I think -- let's see. It's about -- well, how many, roughly? How many operations to get from here to here? Well, maybe one way to look at it is all these numbers had to get changed.",look at
4DfCXjwQBRA,commentary,23,0.333,0.2803,0.0,new_information,clean,"- I am the techno prince, warrior, poet, monkey man, spiritual cowboy on the hero's journey to liberate humankind, yeah. - Oh my God. I'm gonna, just, a lot of the rest of this video is just gonna be me showing you clips","- I am the techno prince, warrior, poet, monkey man, spiritual cowboy on the hero's journey to liberate humankind, yeah. - Oh my God. I'm gonna, just, a lot of the rest of this video is just gonna be me showing you clips of rhino man and just saying how much I don't like him. So I do wanna say as a disclaimer, that I, it's the case for all my videos and I don't always say it explicitly",this video
iDtfzQnW-B4,commentary,27,0.3154,0.075,,new_information,clean,"Get over here Leah Gibbs, gibbs me a kiss. Finally, I thought our second kiss would never happen. The tension was getting epic.","Get over here Leah Gibbs, gibbs me a kiss. Finally, I thought our second kiss would never happen. The tension was getting epic.",over here
3esF-pNAM9c,podcasts,95,0.291,0.1152,1.0,new_information,filled_pause,so but I just think like something that has such a big clear positive impact or at least in the short term of productivity Focus um that people are so dependent on in culture must be at somewhere having equal and opposit,so but I just think like something that has such a big clear positive impact or at least in the short term of productivity Focus um that people are so dependent on in culture must be at somewhere having equal and opposite cost what's weird is that all the studies show that people who drink more coffee have fewer diseases I know it's like so weird how could this be because I I live by principle that everything has like an equal and opposite cost I think that's like Einstein's theory of relativity or whatever i' totally butched that cuz I have no idea about anything to do physics but just this idea that you can't isn't it like e equal MC squ where it's you basically I don't know even what I'm talking about look at me mass and energy yeah like you can't destroy every Force has an opposite effect equal an opposite effect and so with coffee okay if it brings me really really up and it really makes me focused and productive then there must be an equal and opposite downside maybe the downside is just you spend a lot of money on it,look at
AeGEv0YVLtw,commentary,47,0.2761,0.0863,,new_information,restart,"But you just can’t seem to make them happy.” And like with the makeup thing, I know that's not true. It’s a conspiracy theory... And yet... Also I wish somebody would unwrite 50 Shades of Grey cause I feel like I have to","But you just can’t seem to make them happy.” And like with the makeup thing, I know that's not true. It’s a conspiracy theory... And yet... Also I wish somebody would unwrite 50 Shades of Grey cause I feel like I have to go, “Yes, I have emotional trauma but this drawer full of BDSM gear honestly has nothing to do with that!” During the course of writing this video my abuser tried to get in touch several times being like, “Hey, hope you’re doing all right.",this video
6Sx_hLPFwU8,lectures,1,0.2665,0.0448,,new_information,filled_pause,and uh if we look at if we look at what it said for samantha the one that she went to was between 113 and 117 okay the other girl brooklyn she went to four of the same ones with samantha but the other ones that she went ,and uh if we look at if we look at what it said for samantha the one that she went to was between 113 and 117 okay the other girl brooklyn she went to four of the same ones with samantha but the other ones that she went to were less decibels so the mean for brooklyn is going to be less and mary did one of each so the mean for her is going to be less as well so yes samantha has the greatest mean for the level of decimals among the three girls samantha attended the concerts with the greatest greatest median sound level,look at
4X16Iw5ST4Q,commentary,26,0.2645,0.0949,0.0,new_information,repetition,i'm allergic to peta okay all in all i think these psas worked well for the time you know these aired before youtube and tick tock existed so like the only content you really had to be mindful of was like television and ,i'm allergic to peta okay all in all i think these psas worked well for the time you know these aired before youtube and tick tock existed so like the only content you really had to be mindful of was like television and as time went on i think the need for these types of psas increased but what also increased was the amount of content that young people are consuming so it's sort of a losing battle for these concerned children's advertisers every time i say that i think of like little kids in suits in like an ad agency just [ __ ] stressed so concerned but seriously there's no way you can make a psa for every single issue a child is gonna face nowadays and especially get them to see it so i think the responsibility lies on all of us we have to be better role models for young people so if you have a kid in your life that looks up to you and trusts you you scare the [ __ ] out of them instill terror into their dumb little heads because that's the only way it's gonna get in there put your baby in front of the screen do it,the screen
IiAjADve-ec,tv_series,22,0.264,0.1216,,new_information,clean,"Adios. [Spanish spoken audio] Look at this, man. Can you hear it? I hear nothing. -What do you mean you can't hear it? -Oh! The day I own this sound system, I know I've died and gone to heaven.","Adios. [Spanish spoken audio] Look at this, man. Can you hear it? I hear nothing. -What do you mean you can't hear it? -Oh! The day I own this sound system, I know I've died and gone to heaven.",look at
2IdtqGM6KWU,lectures,4,0.2506,0.0462,1.0,new_information,filled_pause,okay that's like the standard basis in fact our space is practically the same as nine-dimensional space it's just the nine numbers are written in a square instead of in a column but somehow it's different and and ought t,okay that's like the standard basis in fact our space is practically the same as nine-dimensional space it's just the nine numbers are written in a square instead of in a column but somehow it's different and and ought to be thought of as uh in sort of natural for itself because now what about the symmetric 3x3 so that's a Subspace just let's just think what's the dimension of that Subspace and what's a basis for that Subspace okay and I guess this question occurs to me if I look at this Subspace of symmetric 3x3 well how many of these original basis members belong to the Subspace I think only three of them do that this one is symmetric this last one is symmetric and the one in the Middle with a with a one in that position in the 2 two position would be symmetric,look at
4EXVrzOACv4,commentary,22,0.2505,0.1265,0.0,new_information,clean,"And, as always, thanks for watching.” I wanted to make this video as a way of interrogating my own relationship to the media that I consume. I enjoy the spectacle of food entertainment and in particular I like seeing the","And, as always, thanks for watching.” I wanted to make this video as a way of interrogating my own relationship to the media that I consume. I enjoy the spectacle of food entertainment and in particular I like seeing the absurd and the indulgent, I want to see the world’s largest papaya or reasonably authentic 2000 year old recipes or a giant hamburger that is actually made of ice cream cake. Spectacle sells and, make no mistake, I am buying.",this video
AeGEv0YVLtw,commentary,57,0.245,0.0339,,new_information,restart,"I'll make another video on this channel closer to the time explaining the details of the stream, when it'll be, how you can see it, and what charity I'll do it for and if the cosmonaut video or this one meant anything to","I'll make another video on this channel closer to the time explaining the details of the stream, when it'll be, how you can see it, and what charity I'll do it for and if the cosmonaut video or this one meant anything to you, then I hope you’ll join me. And I think that's about everything I've got to say for today, except that if you have trauma. If you have been abused, I've only got one thing to say to you - I understand how you feel. <Suddenly, epic music> ""Говорит Москва This is Moscow",you can see
3esF-pNAM9c,podcasts,21,0.2182,0.0462,0.0,new_information,repetition,okay everybody's 30 years old we're going to give this half a healthy no glucose Spike diet and this half glucose spikes every single day and then we'll see when they're 80 you know which group has aged faster we can't d,okay everybody's 30 years old we're going to give this half a healthy no glucose Spike diet and this half glucose spikes every single day and then we'll see when they're 80 you know which group has aged faster we can't do that that's unethical so we have to look at correlations and we see things like if you have really high glucose levels High insulin levels you're more likely to get heart disease dementia depression etc etc we have correlative studies and we understand the mechanism of the glycation what about the superficial signs of aging wrinkles like the wrinkles a lot of skincare products actually Target glycation from the outside in so they'll put like antioxidants on your skin to reduce glycation if you're in the skincare World you'll see glycation mentioned everywhere what they don't do is they don't look at at how to reduce glycation from the inside out which is what I think is more interesting and it's through food by reducing your glucose levels you reduce glycation it's just like a A to B it's very simple so if I want to Stave off wrinkles then I should keep my glucose levels down,look at
2IdtqGM6KWU,lectures,10,0.2092,0.0462,1.0,new_information,filled_pause,that these natural operations and we these this is it actually this is the this is the the the set of natural things to do with with subspaces that uh the dimensions come out in a good way okay maybe I'll take just one m,that these natural operations and we these this is it actually this is the this is the the the set of natural things to do with with subspaces that uh the dimensions come out in a good way okay maybe I'll take just one more example of a vector space that doesn't have vectors in it it's it say take come from differential equations so this is a one more new Vector space that we'll give just a few minutes to suppose I have a differential equation like DC y [Music] dx2 + y = 0 okay I look at the solutions to that equation so what are the solutions to that equation y equal cos x is a solution y = sinx is a solution y = well e to the IX is a solution if you want if you allow me to put that in oh but why should I put that in it's already there,look at
3esF-pNAM9c,podcasts,71,0.1946,0.0462,0.0,new_information,repetition,I like I don't have all the answers to that we just know that on average if you look at everybody by reducing those spikes you're going to reduce the likelihood of these diseases but you see people who like smoke two pac,I like I don't have all the answers to that we just know that on average if you look at everybody by reducing those spikes you're going to reduce the likelihood of these diseases but you see people who like smoke two packs of cigarettes a day drink two liters of orange juice and live to 120 with no health issues and you have people who are perfectly healthy who get cancer at 25 and die like I'm not God I don't know but what I do know is that in a lot of cases when you have a condition that's linked to glucose levels and you apply these hacks you can get relief or remission that's all I know are there any societies where they just don't really eat sugar that you you can think of or any sort of I think any any culture any country that's been globalized and now has access to like fizzy drinks and stuff,look at
1wsF9GpGd00,lectures,4,0.1946,0.0352,,new_information,clean,"So let me write this. This is B. B is a strict or proper subset. So, for example, we can write that A is a subset of A. In fact, every set is a subset of itself, because every one of its members is a member of A. We cann","So let me write this. This is B. B is a strict or proper subset. So, for example, we can write that A is a subset of A. In fact, every set is a subset of itself, because every one of its members is a member of A. We cannot write that A is a strict subset of A. This right over here is false.",over here
AeGEv0YVLtw,commentary,49,0.1898,0.0193,,new_information,restart,And I need to acknowledge that because the progress since then is real too - I’ve changed a lot in the last year. In many ways I'm not the man I was. You can tell looking at my videos that something happened to me at the,"And I need to acknowledge that because the progress since then is real too - I’ve changed a lot in the last year. In many ways I'm not the man I was. You can tell looking at my videos that something happened to me at the end of summer 2018, and what happened was I came home one day and I said to my abuser, “I don’t love you anymore, you need to go.” Incidentally, as soon as she moved out all of my rent and bills obviously doubled - so I could only afford to leave my abuser in part because I still had this show. And thank God I hadn't given her any financial control. So if you were supporting me on Patreon about a year ago - thanks. I very much doubt my abuser will ever see this video: she’s very Not Online. I don't really care if she does.",this video
3esF-pNAM9c,podcasts,10,0.1858,0.0442,0.0,new_information,repetition,and that's why if you really love cookies the best time to eat them is right after you work out right before you work out because your muscles are really hungry for glucose all the time and the bigger your muscles are th,and that's why if you really love cookies the best time to eat them is right after you work out right before you work out because your muscles are really hungry for glucose all the time and the bigger your muscles are the more you use them the more they're going to capture some of that glucose for energy okay so me and my partner we both go to the gym she is significantly smaller than me in every way she's she's short she's you know she's lean um I'm bigger than her I have I have more muscle mass that means that if I have one cookie and she has the exact same cookie then her glucose response is going to be potentially significantly different to mine yes potentially so if you just look at muscle mass since you have more muscle mass you'll be able to handle that cookie better but there's so many things that influence glucose response for example your level of hydration how stressed you are your microbiome your genetics what time of the month you're in when you're female how well you've slept last night I mean there's a few factors so if you were just to compare your Spike to hers you couldn't really draw any conclusions because there's so many confounding variables there's confounding variables give me a window into some of them and why they matter and how they have an impact on my glucose response,look at
Aj0s9ztoKUc,entertainment,11,0.1857,0.2803,,new_information,clean,"We'll be tasting wraps from around the world and throwing darts at the map to register where we think they're from. Chase will do the measurements. That's right. Hi, it's me, Chase, the golden gift wrapped cartographer.","We'll be tasting wraps from around the world and throwing darts at the map to register where we think they're from. Chase will do the measurements. That's right. Hi, it's me, Chase, the golden gift wrapped cartographer.",the map
4DfCXjwQBRA,commentary,4,0.1856,0.0196,0.0,new_information,clean,"So 'Sexy Beasts' on Netflix is actually based on a show with the same name, not gonna say it, that aired on BBC Three, Scott Kramer, friend of the homepage, he did a video about the original British version of this show.","So 'Sexy Beasts' on Netflix is actually based on a show with the same name, not gonna say it, that aired on BBC Three, Scott Kramer, friend of the homepage, he did a video about the original British version of this show. So you should watch that and he also told me to make this video. So thanks, Scott. - I wanna get married, I wanna have babies before I'm like 26, do you have health insurance?",this video
Ud6JonLO29o,commentary,3,0.1811,0.0317,,new_information,revision,but just none of them hit the same in fact as a little goodbye to this yearly spooky tradition and the spooky saga as a whole why didn't i show you a few of my rejected spooky songs man look at all these spooky songs the,but just none of them hit the same in fact as a little goodbye to this yearly spooky tradition and the spooky saga as a whole why didn't i show you a few of my rejected spooky songs man look at all these spooky songs there's a lot of memories in here and i really did try everything i mean look at spooky lad i'm actually a spooky lad i've got a spooky mama spooky dad got a spooky cup of spooky tea i'm dressed as a spooky queen for halloween man that was a trip some of these i don't even remember spooky goofball what is that i'm a spooky goofball spook cooking through the night i'm a spooky goofball boy [ __ ] with me i'll give you quite a fright yeah i don't even know how that could have been a full song also it didn't feel spooky really it just felt silly oh man spooky girl that was a special one my spooky world just don't spin around without you my spooky boo and every halloween i don't go looking for tricks and treats,look at
6HVYHNTDOFs,commentary,9,0.1748,1.0,0.0,off_topic,clean,"- Let's try simple a experiment. I have eight ice cubes spread evenly in one dish here and I have another eight ice cubes now stacked together in one mega cube in this dish over here. Now, if you leave these two plates t","- Let's try simple a experiment. I have eight ice cubes spread evenly in one dish here and I have another eight ice cubes now stacked together in one mega cube in this dish over here. Now, if you leave these two plates to melt for a few hours, the stacked ice cubes fare a lot better, and that's because the main way ice melts is through heat conduction on its surface. So, even though the volume was the same, the surface area exposed here is double what we had here.",over here
4EXVrzOACv4,commentary,2,0.1738,0.0205,0.0,new_information,clean,"Let’s check out our colour. Oh, yeah, look at that, even, cheesy, saucy, warm all the way through. Mmm, so good. That is a great pizza pop. So, I like watching cooking entertainment, which isn’t really a deep admission o","Let’s check out our colour. Oh, yeah, look at that, even, cheesy, saucy, warm all the way through. Mmm, so good. That is a great pizza pop. So, I like watching cooking entertainment, which isn’t really a deep admission or anything. It’s an interest I share with millions and millions of other people. Cooking shows are extremely mainstream, and in light of structural and cultural changes at YouTube over the last couple years they are increasingly becoming the face of YouTube.",look at
4DfCXjwQBRA,commentary,18,0.1726,0.0719,0.0,new_information,clean,I'm just saying that some of them are easier to look at than others. The worst one in the entire season is this girl. What did this poor girl do to deserve this costume? She's not a beast by my calculations. She's just a,"I'm just saying that some of them are easier to look at than others. The worst one in the entire season is this girl. What did this poor girl do to deserve this costume? She's not a beast by my calculations. She's just an unfortunately faced lady with a permanent frown, spoiler alert, she is eliminated first and it probably has something to do with her boily face. So please remind me again how this is different than superficial dating?",look at
